Date,Open,Close,Weekly Returns
2010-08-16,44.5,44.919998,0.944
2010-08-23,45.200001,44.07,-2.5
2010-08-30,43.860001,46.009998,4.902
2010-09-06,45.82,46.599998,1.702
2010-09-13,46.959999,47.990002,2.193
2010-09-20,48.169998,49.66,3.093
2010-09-27,49.630001,49.009998,-1.249
2010-10-04,48.869999,49.75,1.801
2010-10-11,49.779999,51.490002,3.435
2010-10-18,51.5,51.639999,0.272
2010-10-25,51.849998,52.18,0.636
2010-11-01,52.369999,53.669998,2.482
2010-11-08,53.580002,52.509998,-1.997
2010-11-15,52.779999,52.470001,-0.587
2010-11-22,52.259998,52.77,0.976
2010-11-29,52.700001,53.869999,2.22
2010-12-06,53.880001,54.490002,1.132
2010-12-13,54.700001,54.52,-0.329
2010-12-20,54.619999,54.740002,0.22
2010-12-27,54.580002,54.459999,-0.22
2011-01-03,54.970001,55.869999,1.637
2011-01-10,55.75,57.0,2.242
2011-01-17,56.57,55.68,-1.573
2011-01-24,55.790001,55.73,-0.108
2011-01-31,55.810001,57.380001,2.813
2011-02-07,57.490002,58.439999,1.652
2011-02-14,58.439999,58.73,0.496
2011-02-21,57.93,57.650002,-0.483
2011-02-28,57.880001,57.970001,0.155
2011-03-07,58.209999,56.490002,-2.955
2011-03-14,56.18,54.450001,-3.079
2011-03-21,55.279999,56.84,2.822
2011-03-28,57.09,57.459999,0.648
2011-04-04,57.619999,56.950001,-1.163
2011-04-11,57.169998,56.650002,-0.91
2011-04-18,56.080002,58.34,4.03
2011-04-25,58.389999,59.080002,1.182
2011-05-02,59.169998,58.470001,-1.183
2011-05-09,58.57,58.41,-0.273
2011-05-16,58.139999,57.77,-0.636
2011-05-23,56.98,57.43,0.79
2011-05-30,57.970001,56.349998,-2.795
2011-06-06,56.220001,54.639999,-2.81
2011-06-13,54.669998,53.790001,-1.61
2011-06-20,53.639999,54.380001,1.38
2011-06-27,54.439999,57.91,6.374
2011-07-04,57.970001,59.029999,1.829
2011-07-11,58.41,57.849998,-0.959
2011-07-18,57.529999,59.599998,3.598
2011-07-25,59.130001,58.0,-1.911
2011-08-01,58.700001,53.830002,-8.296
2011-08-08,52.18,53.57,2.664
2011-08-15,53.790001,50.029999,-6.99
2011-08-22,51.23,53.130001,3.709
2011-08-29,53.66,53.279999,-0.708
2011-09-05,52.040001,53.18,2.191
2011-09-12,52.59,56.59,7.606
2011-09-19,55.889999,54.150002,-3.113
2011-09-26,54.419998,52.490002,-3.546
2011-10-03,52.02,54.07,3.941
2011-10-10,54.990002,58.18,5.801
2011-10-17,57.91,57.299999,-1.053
2011-10-24,57.509998,58.939999,2.487
2011-10-31,58.43,57.799999,-1.078
2011-11-07,57.759998,57.849998,0.156
2011-11-14,57.689999,55.400002,-3.969
2011-11-21,54.650002,52.880001,-3.239
2011-11-28,54.169998,56.619999,4.523
2011-12-05,57.470001,57.02,-0.783
2011-12-12,56.419998,54.860001,-2.765
2011-12-19,55.07,56.080002,1.834
2011-12-26,55.990002,55.830002,-0.286
2012-01-02,56.91,57.810001,1.581
2012-01-09,57.959999,58.18,0.38
2012-01-16,58.689999,59.77,1.84
2012-01-23,59.779999,60.400002,1.037
2012-01-30,59.889999,62.049999,3.607
2012-02-06,61.82,62.470001,1.051
2012-02-13,62.939999,63.43,0.779
2012-02-20,63.5,63.959999,0.724
2012-02-27,63.610001,64.870003,1.981
2012-03-05,64.830002,65.019997,0.293
2012-03-12,65.0,66.519997,2.338
2012-03-19,66.629997,66.940002,0.465
2012-03-26,67.389999,67.550003,0.237
2012-04-02,67.480003,67.720001,0.356
2012-04-09,66.879997,66.190002,-1.032
2012-04-16,66.519997,65.68,-1.263
2012-04-23,65.059998,67.239998,3.351
2012-04-30,67.040001,64.699997,-3.49
2012-05-07,64.309998,64.18,-0.202
2012-05-14,63.630001,60.810001,-4.432
2012-05-21,60.93,62.07,1.871
2012-05-28,62.650002,60.41,-3.575
2012-06-04,60.580002,62.869999,3.78
2012-06-11,63.349998,62.990002,-0.568
2012-06-18,62.73,63.349998,0.988
2012-06-25,62.830002,64.160004,2.117
2012-07-02,64.25,64.120003,-0.202
2012-07-09,64.050003,63.380001,-1.046
2012-07-16,63.240002,64.239998,1.581
2012-07-23,62.990002,64.870003,2.985
2012-07-30,65.029999,65.599998,0.877
2012-08-06,65.940002,66.860001,1.395
2012-08-13,66.839996,68.32,2.214
2012-08-20,68.269997,68.290001,0.029
2012-08-27,68.580002,68.160004,-0.612
2012-09-03,68.029999,69.43,2.058
2012-09-10,69.25,70.18,1.343
2012-09-17,70.220001,70.150002,-0.1
2012-09-24,69.57,68.57,-1.437
2012-10-01,68.900002,68.980003,0.116
2012-10-08,68.580002,66.68,-2.77
2012-10-15,66.93,65.68,-1.868
2012-10-22,65.650002,65.349998,-0.457
2012-10-29,65.269997,65.169998,-0.153
2012-11-05,65.18,63.43,-2.685
2012-11-12,63.799999,62.299999,-2.351
2012-11-19,62.98,64.900002,3.049
2012-11-26,64.739998,65.800003,1.637
2012-12-03,66.309998,64.93,-2.081
2012-12-10,64.75,64.690002,-0.093
2012-12-17,64.75,65.199997,0.695
2012-12-24,65.029999,63.779999,-1.922
2012-12-31,63.709999,66.629997,4.583
2013-01-07,66.459999,67.260002,1.204
2013-01-14,66.919998,67.07,0.224
2013-01-21,67.139999,67.0,-0.209
2013-01-28,67.010002,67.660004,0.97
2013-02-04,67.269997,67.989998,1.07
2013-02-11,68.029999,67.75,-0.412
2013-02-18,67.879997,67.139999,-1.09
2013-02-25,67.57,67.379997,-0.281
2013-03-04,67.160004,68.769997,2.397
2013-03-11,68.68,68.510002,-0.248
2013-03-18,67.879997,68.589996,1.046
2013-03-25,68.809998,68.970001,0.233
2013-04-01,69.019997,67.860001,-1.681
2013-04-08,67.889999,69.940002,3.02
2013-04-15,69.68,68.089996,-2.282
2013-04-22,68.330002,69.57,1.815
2013-04-29,69.790001,72.120003,3.339
2013-05-06,72.25,73.050003,1.107
2013-05-13,72.93,74.300003,1.879
2013-05-20,74.160004,73.410004,-1.011
2013-05-27,74.269997,73.25,-1.373
2013-06-03,73.260002,73.389999,0.177
2013-06-10,73.529999,72.279999,-1.7
2013-06-17,72.849998,70.43,-3.322
2013-06-24,69.849998,71.269997,2.033
2013-07-01,71.75,72.580002,1.157
2013-07-08,72.959999,75.300003,3.207
2013-07-15,75.379997,74.589996,-1.048
2013-07-22,74.870003,75.370003,0.668
2013-07-29,75.220001,76.970001,2.327
2013-08-05,76.93,76.489998,-0.572
2013-08-12,76.199997,75.480003,-0.945
2013-08-19,75.489998,76.669998,1.563
2013-08-26,76.730003,75.470001,-1.642
2013-09-02,76.089996,76.93,1.104
2013-09-09,77.260002,78.059998,1.035
2013-09-16,78.720001,78.989998,0.343
2013-09-23,79.32,79.07,-0.315
2013-09-30,78.25,79.400002,1.47
2013-10-07,78.699997,79.230003,0.673
2013-10-14,78.739998,82.150002,4.331
2013-10-21,82.339996,82.900002,0.68
2013-10-28,82.910004,82.809998,-0.121
2013-11-04,83.059998,82.540001,-0.626
2013-11-11,82.419998,83.959999,1.868
2013-11-18,83.940002,83.989998,0.06
2013-11-25,84.290001,85.730003,1.708
2013-12-02,85.830002,86.0,0.198
2013-12-09,86.349998,84.849998,-1.737
2013-12-16,85.269997,86.5,1.442
2013-12-23,87.209999,87.519997,0.355
2013-12-30,87.389999,86.639999,-0.858
2014-01-06,86.660004,87.300003,0.739
2014-01-13,87.18,87.879997,0.803
2014-01-20,88.440002,86.739998,-1.922
2014-01-27,86.739998,86.269997,-0.542
2014-02-03,86.110001,87.300003,1.382
2014-02-10,87.269997,89.809998,2.911
2014-02-17,89.959999,89.93,-0.033
2014-02-24,90.139999,90.339996,0.222
2014-03-03,89.489998,90.529999,1.162
2014-03-10,90.480003,88.669998,-2.0
2014-03-17,89.239998,89.0,-0.269
2014-03-24,89.32,87.050003,-2.541
2014-03-31,87.730003,86.370003,-1.55
2014-04-07,85.830002,84.110001,-2.004
2014-04-14,84.849998,86.199997,1.591
2014-04-21,86.400002,86.190002,-0.243
2014-04-28,86.599998,87.489998,1.028
2014-05-05,86.970001,86.800003,-0.195
2014-05-12,87.32,87.709999,0.447
2014-05-19,87.449997,89.879997,2.779
2014-05-26,90.279999,91.309998,1.141
2014-06-02,91.419998,92.82,1.531
2014-06-09,92.839996,92.32,-0.56
2014-06-16,92.160004,92.769997,0.662
2014-06-23,92.760002,93.75,1.067
2014-06-30,93.730003,95.699997,2.102
2014-07-07,95.589996,95.269997,-0.335
2014-07-14,95.699997,96.120003,0.439
2014-07-21,95.919998,96.739998,0.855
2014-07-28,96.839996,94.669998,-2.241
2014-08-04,94.870003,94.900002,0.032
2014-08-11,95.269997,97.400002,2.236
2014-08-18,97.910004,99.050003,1.164
2014-08-25,99.519997,99.779999,0.261
2014-09-01,100.019997,99.889999,-0.13
2014-09-08,99.919998,99.480003,-0.44
2014-09-15,99.589996,99.980003,0.392
2014-09-22,99.739998,98.779999,-0.963
2014-09-29,97.800003,98.169998,0.378
2014-10-06,98.480003,94.440002,-4.102
2014-10-13,94.269997,93.0,-1.347
2014-10-20,92.989998,98.620003,6.054
2014-10-27,98.43,101.400002,3.017
2014-11-03,101.580002,101.599998,0.02
2014-11-10,101.650002,103.220001,1.545
2014-11-17,102.980003,103.870003,0.864
2014-11-24,104.150002,106.010002,1.786
2014-12-01,105.720001,105.379997,-0.322
2014-12-08,105.110001,102.669998,-2.321
2014-12-15,103.199997,104.32,1.085
2014-12-22,104.150002,105.040001,0.855
2014-12-29,104.940002,102.940002,-1.906
2015-01-05,102.489998,102.620003,0.127
2015-01-12,102.82,100.82,-1.945
2015-01-19,101.43,104.260002,2.79
2015-01-26,104.139999,101.099998,-2.919
2015-02-02,101.330002,103.129997,1.776
2015-02-09,102.730003,106.910004,4.069
2015-02-16,106.910004,108.410004,1.403
2015-02-23,108.349998,108.400002,0.046
2015-03-02,108.610001,107.410004,-1.105
2015-03-09,107.629997,105.339996,-2.128
2015-03-16,105.730003,108.529999,2.648
2015-03-23,108.470001,105.519997,-2.72
2015-03-30,106.160004,105.120003,-0.98
2015-04-06,104.5,107.75,3.11
2015-04-13,107.830002,106.010002,-1.688
2015-04-20,106.540001,110.540001,3.754
2015-04-27,110.949997,109.050003,-1.712
2015-05-04,109.400002,108.690002,-0.649
2015-05-11,108.760002,109.580002,0.754
2015-05-18,109.400002,110.470001,0.978
2015-05-25,110.230003,110.050003,-0.163
2015-06-01,110.639999,109.300003,-1.211
2015-06-08,109.25,108.75,-0.458
2015-06-15,107.940002,109.889999,1.807
2015-06-22,110.699997,109.269997,-1.292
2015-06-29,108.059998,107.949997,-0.102
2015-07-06,107.269997,107.650002,0.354
2015-07-13,108.580002,113.589996,4.614
2015-07-20,113.830002,111.099998,-2.398
2015-07-27,110.470001,111.949997,1.34
2015-08-03,111.970001,110.309998,-1.483
2015-08-10,111.010002,110.510002,-0.45
2015-08-17,110.239998,102.400002,-7.112
2015-08-24,94.230003,105.620003,12.087
2015-08-31,105.029999,102.160004,-2.733
2015-09-07,104.120003,105.57,1.393
2015-09-14,105.959999,105.349998,-0.576
2015-09-21,105.93,102.919998,-2.842
2015-09-28,102.480003,104.010002,1.493
2015-10-05,104.779999,106.529999,1.67
2015-10-12,106.730003,108.120003,1.302
2015-10-19,107.980003,112.779999,4.445
2015-10-26,112.699997,113.330002,0.559
2015-11-02,113.629997,114.790001,1.021
2015-11-09,114.360001,109.839996,-3.952
2015-11-16,109.730003,114.480003,4.329
2015-11-23,114.519997,114.309998,-0.183
2015-11-30,114.650002,115.139999,0.427
2015-12-07,115.220001,110.790001,-3.845
2015-12-14,110.940002,109.830002,-1.001
2015-12-21,110.870003,112.589996,1.551
2015-12-28,112.32,111.860001,-0.41
2016-01-04,109.449997,104.010002,-4.97
2016-01-11,104.75,100.839996,-3.733
2016-01-18,102.209999,103.769997,1.526
2016-01-25,103.400002,104.129997,0.706
2016-02-01,103.629997,98.120003,-5.317
2016-02-08,96.290001,98.019997,1.797
2016-02-15,99.470001,101.629997,2.172
2016-02-22,102.580002,103.43,0.829
2016-02-29,103.330002,105.669998,2.265
2016-03-07,105.129997,106.489998,1.294
2016-03-14,106.089996,107.370003,1.207
2016-03-21,107.18,107.260002,0.075
2016-03-28,107.559998,110.360001,2.603
2016-04-04,110.360001,109.0,-1.232
2016-04-11,109.470001,110.639999,1.069
2016-04-18,110.32,108.980003,-1.215
2016-04-25,108.650002,105.720001,-2.697
2016-05-02,105.989998,105.580002,-0.387
2016-05-09,105.589996,105.5,-0.085
2016-05-16,105.660004,106.470001,0.767
2016-05-23,106.589996,110.129997,3.321
2016-05-30,110.279999,110.059998,-0.199
2016-06-06,110.260002,108.940002,-1.197
2016-06-13,108.32,106.489998,-1.689
2016-06-20,107.730003,104.290001,-3.193
2016-06-27,103.599998,108.080002,4.324
2016-07-04,107.510002,110.300003,2.595
2016-07-11,110.669998,111.800003,1.021
2016-07-18,111.870003,113.650002,1.591
2016-07-25,113.559998,115.230003,1.471
2016-08-01,115.309998,116.779999,1.275
2016-08-08,116.839996,117.199997,0.308
2016-08-15,117.349998,117.260002,-0.077
2016-08-22,117.089996,116.779999,-0.265
2016-08-29,116.809998,117.120003,0.265
2016-09-05,117.32,114.279999,-2.591
2016-09-12,113.639999,117.290001,3.212
2016-09-19,117.589996,118.330002,0.629
2016-09-26,117.660004,118.720001,0.901
2016-10-03,118.57,118.470001,-0.084
2016-10-10,119.080002,117.139999,-1.629
2016-10-17,117.040001,118.150002,0.948
2016-10-24,118.910004,117.099998,-1.522
2016-10-31,117.529999,113.650002,-3.301
2016-11-07,115.489998,115.800003,0.268
2016-11-14,115.830002,117.32,1.286
2016-11-21,117.610001,118.800003,1.012
2016-11-28,118.650002,115.699997,-2.486
2016-12-05,116.300003,119.5,2.752
2016-12-12,118.970001,119.599998,0.53
2016-12-19,119.720001,120.199997,0.401
2016-12-26,120.459999,118.480003,-1.644
2017-01-02,119.269997,121.93,2.23
2017-01-09,122.029999,123.160004,0.926
2017-01-16,122.839996,123.25,0.334
2017-01-23,123.169998,125.800003,2.135
2017-01-30,125.379997,125.68,0.239
2017-02-06,125.470001,127.379997,1.522
2017-02-13,127.769997,129.809998,1.597
2017-02-20,130.059998,130.259995,0.154
2017-02-27,130.020004,131.020004,0.769
2017-03-06,130.589996,131.389999,0.613
2017-03-13,131.339996,131.690002,0.266
2017-03-20,131.649994,130.630005,-0.775
2017-03-27,129.699997,132.380005,2.066
2017-04-03,132.490005,131.970001,-0.392
2017-04-10,132.100006,130.399994,-1.287
2017-04-17,130.770004,132.559998,1.369
2017-04-24,134.029999,135.990005,1.462
2017-05-01,136.440002,137.539993,0.806
2017-05-08,137.610001,138.600006,0.719
2017-05-15,138.660004,137.839996,-0.591
2017-05-22,138.149994,141.220001,2.222
2017-05-29,141.149994,143.460007,1.637
2017-06-05,143.449997,139.979996,-2.419
2017-06-12,138.800003,138.149994,-0.468
2017-06-19,139.490005,141.240005,1.255
2017-06-26,142.050003,137.639999,-3.105
2017-07-03,138.270004,137.759995,-0.369
2017-07-10,137.850006,142.119995,3.098
2017-07-17,142.270004,144.110001,1.293
2017-07-24,144.089996,143.839996,-0.174
2017-07-31,144.25,143.649994,-0.416
2017-08-07,143.910004,142.100006,-1.258
2017-08-14,143.229996,141.229996,-1.396
2017-08-21,141.220001,141.970001,0.531
2017-08-28,142.399994,146.0,2.528
2017-09-04,145.570007,144.210007,-0.934
2017-09-11,145.339996,146.059998,0.495
2017-09-18,145.910004,144.320007,-1.09
2017-09-25,143.75,145.449997,1.183
2017-10-02,145.669998,147.660004,1.366
2017-10-09,147.850006,148.339996,0.331
2017-10-16,148.710007,148.710007,0.0
2017-10-23,149.020004,151.240005,1.49
2017-10-30,151.130005,153.270004,1.416
2017-11-06,153.149994,153.679993,0.346
2017-11-13,153.100006,153.949997,0.555
2017-11-20,154.059998,156.259995,1.428
2017-11-27,156.210007,154.490005,-1.101
2017-12-04,155.460007,154.699997,-0.489
2017-12-11,154.770004,157.649994,1.861
2017-12-18,158.360001,157.369995,-0.625
2017-12-25,156.490005,155.759995,-0.466
2018-01-01,156.559998,161.919998,3.424
2018-01-08,161.919998,164.490005,1.587
2018-01-15,165.580002,166.339996,0.459
2018-01-22,166.279999,170.929993,2.796
2018-01-29,170.570007,164.610001,-3.494
2018-02-05,163.070007,156.100006,-4.274
2018-02-12,157.699997,164.960007,4.604
2018-02-19,164.380005,168.169998,2.306
2018-02-26,168.960007,165.990005,-1.758
2018-03-05,165.210007,173.160004,4.812
2018-03-12,173.669998,171.020004,-1.526
2018-03-19,169.100006,158.509995,-6.263
2018-03-26,161.720001,160.130005,-0.983
2018-04-02,158.990005,156.630005,-1.484
2018-04-09,157.979996,161.369995,2.146
2018-04-16,162.5,162.300003,-0.123
2018-04-23,163.089996,162.089996,-0.613
2018-04-30,162.470001,164.869995,1.477
2018-05-07,165.639999,169.460007,2.306
2018-05-14,169.850006,167.460007,-1.407
2018-05-21,168.759995,169.720001,0.569
2018-05-28,168.949997,172.740005,2.243
2018-06-04,173.179993,174.440002,0.728
2018-06-11,174.309998,176.979996,1.532
2018-06-18,175.490005,175.320007,-0.097
2018-06-25,173.729996,171.649994,-1.197
2018-07-02,170.039993,175.610001,3.276
2018-07-09,176.520004,179.610001,1.751
2018-07-16,179.649994,178.990005,-0.367
2018-07-23,178.460007,177.619995,-0.471
2018-07-30,177.630005,180.080002,1.379
2018-08-06,179.960007,180.520004,0.311
2018-08-13,180.850006,179.860001,-0.547
2018-08-20,180.259995,182.479996,1.232
2018-08-27,183.399994,186.649994,1.772
2018-09-03,186.080002,181.110001,-2.671
2018-09-10,182.149994,183.990005,1.01
2018-09-17,183.679993,183.710007,0.016
2018-09-24,182.050003,185.789993,2.054
2018-10-01,186.869995,180.149994,-3.596
2018-10-08,179.520004,174.320007,-2.897
2018-10-15,173.710007,173.020004,-0.397
2018-10-22,174.059998,166.660004,-4.251
2018-10-29,169.210007,169.380005,0.1
2018-11-05,169.600006,171.520004,1.132
2018-11-12,170.320007,167.5,-1.656
2018-11-19,166.699997,159.210007,-4.493
2018-11-26,161.440002,169.369995,4.912
2018-12-03,173.110001,161.380005,-6.776
2018-12-10,161.080002,161.080002,0.0
2018-12-17,160.389999,147.570007,-7.993
2018-12-24,146.080002,152.970001,4.717
2018-12-31,154.470001,156.229996,1.139
2019-01-07,156.619995,160.690002,2.599
2019-01-14,159.330002,165.25,3.716
2019-01-21,164.059998,165.149994,0.664
2019-01-28,163.020004,167.449997,2.717
2019-02-04,167.479996,168.559998,0.645
2019-02-11,169.169998,171.940002,1.637
2019-02-18,171.410004,172.889999,0.863
2019-02-25,174.210007,174.389999,0.103
2019-03-04,175.539993,171.169998,-2.489
2019-03-11,171.880005,178.350006,3.764
2019-03-18,177.949997,178.559998,0.343
2019-03-25,177.910004,179.660004,0.984
2019-04-01,181.509995,184.660004,1.735
2019-04-08,184.360001,185.830002,0.797
2019-04-15,185.839996,187.389999,0.834
2019-04-22,186.570007,190.649994,2.187
2019-04-29,190.649994,191.110001,0.241
2019-05-06,187.050003,185.0,-1.096
2019-05-13,180.289993,183.039993,1.525
2019-05-20,180.490005,178.160004,-1.291
2019-05-27,178.660004,173.949997,-2.636
2019-06-03,173.479996,181.039993,4.358
2019-06-10,182.25,182.639999,0.214
2019-06-17,183.039993,188.570007,3.021
2019-06-24,188.529999,186.740005,-0.949
2019-07-01,190.320007,191.050003,0.384
2019-07-08,189.809998,193.529999,1.96
2019-07-15,193.979996,191.009995,-1.531
2019-07-22,191.440002,195.289993,2.011
2019-07-29,195.110001,187.350006,-3.977
2019-08-05,183.429993,186.490005,1.668
2019-08-12,185.339996,185.479996,0.076
2019-08-19,188.160004,182.070007,-3.237
2019-08-26,184.139999,187.470001,1.808
2019-09-02,186.220001,191.589996,2.884
2019-09-09,192.190002,192.539993,0.182
2019-09-16,191.300003,190.800003,-0.261
2019-09-23,190.360001,187.029999,-1.749
2019-09-30,187.789993,188.809998,0.543
2019-10-07,188.270004,191.110001,1.508
2019-10-14,190.839996,191.690002,0.445
2019-10-21,192.710007,195.639999,1.52
2019-10-28,196.550003,198.869995,1.18
2019-11-04,200.190002,201.229996,0.52
2019-11-11,200.210007,202.910004,1.349
2019-11-18,202.589996,201.830002,-0.375
2019-11-25,202.699997,205.100006,1.184
2019-12-02,205.110001,205.0,-0.054
2019-12-09,204.630005,207.190002,1.251
2019-12-16,208.550003,211.710007,1.515
2019-12-23,212.0,213.610001,0.759
2019-12-30,213.5,214.179993,0.318
2020-01-06,212.5,218.429993,2.791
2020-01-13,219.330002,223.380005,1.847
2020-01-20,222.759995,222.699997,-0.027
2020-01-27,217.669998,219.070007,0.643
2020-02-03,220.139999,229.199997,4.116
2020-02-10,228.440002,234.639999,2.714
2020-02-17,233.5,230.270004,-1.383
2020-02-24,221.679993,205.800003,-7.163
2020-03-02,208.880005,208.020004,-0.412
2020-03-09,193.479996,192.339996,-0.589
2020-03-16,174.149994,170.699997,-1.981
2020-03-23,170.919998,185.300003,8.413
2020-03-30,187.100006,183.369995,-1.994
2020-04-06,190.479996,200.860001,5.449
2020-04-13,200.0,215.289993,7.645
2020-04-20,213.360001,213.839996,0.225
2020-04-27,216.190002,212.740005,-1.596
2020-05-04,211.460007,224.860001,6.337
2020-05-11,223.490005,223.270004,-0.098
2020-05-18,226.330002,229.660004,1.471
2020-05-25,233.360001,233.360001,0.0
2020-06-01,232.460007,239.690002,3.11
2020-06-08,239.539993,235.880005,-1.528
2020-06-15,232.440002,244.240005,5.077
2020-06-22,243.679993,240.220001,-1.42
2020-06-29,239.970001,252.190002,5.092
2020-07-06,255.449997,263.970001,3.335
2020-07-13,266.910004,259.420013,-2.806
2020-07-20,260.079987,255.559998,-1.738
2020-07-27,257.26001,265.790009,3.316
2020-08-03,268.0,271.470001,1.295
2020-08-10,271.769989,272.160004,0.144
2020-08-17,273.929993,281.869995,2.899
2020-08-24,285.25,292.529999,2.552
2020-08-31,293.070007,283.579987,-3.238
2020-09-07,272.220001,270.450012,-0.65
2020-09-14,274.359985,266.869995,-2.73
2020-09-21,262.470001,271.559998,3.463
2020-09-28,276.579987,274.309998,-0.821
2020-10-05,276.339996,285.709991,3.391
2020-10-12,290.549988,288.51001,-0.702
2020-10-19,290.48999,284.73999,-1.979
2020-10-26,282.380005,269.380005,-4.604
2020-11-02,271.850006,294.609985,8.372
2020-11-09,297.649994,290.929993,-2.258
2020-11-16,290.619995,290.380005,-0.083
2020-11-23,291.410004,299.01001,2.608
2020-11-30,299.339996,305.519989,2.065
2020-12-07,305.709991,301.850006,-1.263
2020-12-14,303.079987,310.059998,2.303
2020-12-21,306.459991,309.559998,1.012
2020-12-28,312.25,313.73999,0.477
2021-01-04,315.109985,319.029999,1.244
2021-01-11,315.980011,311.859985,-1.304
2021-01-18,314.25,325.420013,3.554
2021-01-25,328.910004,314.559998,-4.363
2021-02-01,318.109985,331.359985,4.165
2021-02-08,333.100006,336.450012,1.006
2021-02-15,337.269989,331.019989,-1.853
2021-02-22,326.5,314.140015,-3.786
2021-03-01,319.269989,323.589996,1.353
